State,County,Hospital,Number of Completed Surveys
OH,Delaware,1,401
OH,Erie,1,328
OH,Fairfield,2,747
OH,Fayette,1,163
OH,Franklin,10,20399
OH,Fulton,1,346
OH,Gallia,1,521
OH,Geauga,1,1624
OH,Greene,2,1619
OH,Guernsey,1,566
OH,Hamilton,10,8175
OH,Hancock,1,820
OH,Hardin,1,114
OH,Harrison,1,50
OH,Henry,1,165
OH,Highland,2,197
OH,Hocking,1,132
OH,Holmes,1,500
OH,Huron,2,907
OH,Jackson,1,143
OH,Jefferson,1,663
OH,Knox,1,483
OH,Lake,1,1928
OH,Licking,1,720
OH,Logan,1,285
OH,Lorain,4,2324
OH,Lucas,8,8634
OH,Madison,1,203
OH,Mahoning,4,2066
OH,Marion,1,1086
OH,Medina,2,1204
OH,Mercer,1,297
OH,Miami,1,511
OH,Montgomery,7,5805
OH,Morrow,1,113
OH,Muskingum,1,2905
OH,Ottawa,1,127
OH,Paulding,1,66
OH,Pickaway,1,303
OH,Pike,1,53
OH,Portage,1,1056
OH,Richland,3,1709
OH,Ross,1,326
OH,Sandusky,2,513
OH,Scioto,2,1672
OH,Seneca,2,553
OH,Shelby,1,489
OH,Stark,4,2768
OH,Summit,6,8876
OH,Trumbull,2,1617
OH,Tuscarawas,2,863
OH,Union,1,297
OH,Van Wert,1,190
OH,Warren,1,487
OH,Washington,2,1265
OH,Wayne,2,962
OH,Williams,1,425
OH,Wood,1,382
OH,Wyandot,1,156
OK,Adair,1,154
OK,Atoka,1,50
OK,Beckham,1,312
OK,Bryan,1,496
OK,Canadian,2,499
OK,Carter,2,1011
OK,Cherokee,2,714
OK,Choctaw,1,96
OK,Cleveland,3,2815
OK,Comanche,3,1466
OK,Creek,3,514
OK,Custer,2,194
OK,Delaware,1,319
OK,Garfield,2,858
OK,Garvin,2,99
OK,Grady,1,175
OK,Harper,1,50
OK,Hughes,1,64
OK,Jackson,1,402
OK,Kay,2,470
OK,Kingfisher,1,50
OK,Kiowa,1,94
OK,Latimer,2,201
OK,Logan,1,89
OK,Love,1,50
OK,Major,1,50
OK,Marshall,1,50
OK,Mayes,1,131
OK,Mcclain,1,87
OK,Mccurtain,1,94
OK,Murray,1,120
OK,Muskogee,1,425
OK,Noble,1,53
OK,Oklahoma,18,14585
OK,Okmulgee,2,161
OK,Osage,3,624
OK,Ottawa,1,188
OK,Payne,2,844
OK,Pittsburg,1,670
OK,Pontotoc,2,1014
OK,Pottawatomie,1,484
OK,Pushmataha,1,50
OK,Rogers,2,617
OK,Seminole,1,113
OK,Sequoyah,1,88
OK,Stephens,1,372
OK,Texas,1,101
OK,Tulsa,12,14666
OK,Wagoner,1,190
OK,Washington,1,1067
OK,Washita,1,50
OK,Woods,1,51
OK,Woodward,1,266
OR,Baker,1,168
OR,Benton,1,622
OR,Clackamas,3,4953
OR,Clatsop,2,593
OR,Coos,3,812
OR,Crook,1,108
OR,Curry,1,82
OR,Deschutes,2,975
OR,Douglas,2,891
OR,Grant,1,50
OR,Harney,1,82
OR,Hood River,1,351
OR,Jackson,3,3449
OR,Jefferson,1,69
OR,Josephine,1,1261
OR,Klamath,1,615
OR,Lake,1,77
OR,Lane,5,3452
OR,Lincoln,2,388
OR,Linn,2,711
OR,Malheur,1,353
OR,Marion,3,4127
OR,Multnomah,7,9061
OR,Tillamook,1,261
OR,Umatilla,2,525
OR,Union,1,288
OR,Wallowa,1,147
OR,Wasco,1,414
OR,Washington,4,4913
OR,Yamhill,2,1111
PA,Adams,1,496
PA,Allegheny,18,16671
PA,Armstrong,1,592
PA,Beaver,1,367
PA,Bedford,1,419
PA,Berks,3,1160
PA,Blair,3,2432
PA,Bradford,3,615
PA,Bucks,7,6154
PA,Butler,1,1026
PA,Cambria,2,1555
PA,Carbon,2,433
PA,Centre,1,633
PA,Chester,5,3616
PA,Clarion,1,251
PA,Clearfield,2,597
PA,Clinton,2,187
PA,Columbia,2,701
PA,Crawford,2,647
PA,Cumberland,2,2044
PA,Dauphin,2,1871
PA,Delaware,5,5879
PA,Elk,1,503
PA,Erie,4,2949
PA,Fayette,2,1008
PA,Franklin,2,864
PA,Fulton,1,133
PA,Greene,1,200
PA,Huntingdon,1,310
PA,Indiana,1,1415
PA,Jefferson,2,562
PA,Lackawanna,3,2866
PA,Lancaster,4,2413
PA,Lawrence,2,586
PA,Lebanon,1,1424
PA,Lehigh,5,3967
PA,Luzerne,3,3818
PA,Lycoming,3,2682
PA,Mckean,2,473
PA,Mercer,4,2245
PA,Mifflin,1,519
PA,Monroe,2,521
PA,Montgomery,10,6025
PA,Montour,1,3869
PA,Northampton,3,1518
PA,Northumberland,1,135
PA,Philadelphia,17,13984
PA,Potter,1,438
PA,Schuylkill,3,1053
PA,Somerset,3,1192
PA,Susquehanna,2,396
PA,Union,1,611
PA,Venango,1,637
PA,Warren,1,497
PA,Washington,4,2153
PA,Wayne,1,529
PA,Westmoreland,3,1276
PA,Wyoming,1,96
PA,York,5,2644
RI,Kent,1,1344
RI,Newport,1,548
RI,Providence,7,5922
RI,Washington,2,2168
SC,Abbeville,1,85
SC,Aiken,1,960
SC,Allendale,1,50
SC,Anderson,1,1439
SC,Beaufort,2,2142
SC,Charleston,6,9130
SC,Cherokee,1,337
SC,Chester,1,173
SC,Chesterfield,1,361
SC,Colleton,1,405
SC,Darlington,2,549
SC,Dillon,1,359
SC,Edgefield,1,52
SC,Florence,3,3344
SC,Georgetown,2,886
SC,Greenville,7,7045
SC,Greenwood,1,1783
SC,Hampton,1,107
SC,Horry,3,3417
SC,Jasper,1,392
SC,Kershaw,1,792
SC,Lancaster,1,473
SC,Laurens,1,195
SC,Lexington,2,4954
SC,Marion,1,428
SC,Newberry,1,354
SC,Oconee,1,309
SC,Orangeburg,1,794
SC,Pickens,2,457
SC,Richland,3,3384
SC,Spartanburg,2,2813
SC,Sumter,1,331
SC,Union,1,172
SC,York,1,826
SD,Bon Homme,2,50
SD,Brookings,1,216
SD,Brown,2,805
SD,Brule,1,50
SD,Charles Mix,2,100
SD,Clay,1,53
SD,Codington,1,526
SD,Custer,1,50
SD,Davison,1,442
SD,Douglas,1,50
SD,Fall River,1,60
SD,Grant,1,62
SD,Gregory,2,86
SD,Hand,1,50
SD,Hughes,1,218
SD,Hutchinson,2,94
SD,Jerauld,1,50
SD,Lake,1,59
SD,Lawrence,2,414
SD,Marshall,1,50
SD,Meade,1,82
SD,Minnehaha,6,7768
SD,Pennington,4,3827
SD,Roberts,1,77
SD,Spink,1,78
SD,Todd,1,50
SD,Tripp,1,62
SD,Union,1,796
SD,Walworth,1,98
SD,Yankton,1,565
TN,Anderson,1,1268
TN,Bedford,1,297
TN,Benton,1,50
TN,Blount,1,1767
TN,Bradley,1,613
TN,Campbell,2,684
TN,Cannon,1,50
TN,Carroll,2,296
TN,Carter,1,472
TN,Cheatham,1,50
TN,Claiborne,1,229
TN,Clay,1,50
TN,Cocke,1,380
TN,Coffee,2,712
TN,Cumberland,1,1017
TN,Davidson,9,18403
TN,Decatur,1,50
TN,Dekalb,1,108
TN,Dickson,1,832
TN,Dyer,1,619
TN,Fentress,1,272
TN,Franklin,1,451
TN,Gibson,1,63
TN,Giles,1,262
TN,Greene,2,649
TN,Hamblen,2,1408
TN,Hamilton,3,8095
TN,Hancock,1,50
TN,Hardeman,1,50
TN,Hardin,1,290
TN,Hawkins,1,224
TN,Henderson,1,96
TN,Henry,1,592
TN,Hickman,1,84
TN,Humphreys,1,50
TN,Jefferson,1,318
TN,Knox,5,6774
TN,Lawrence,1,415
TN,Lincoln,1,230
TN,Loudon,1,395
TN,Macon,1,105
TN,Madison,2,2716
TN,Marshall,1,50
TN,Maury,1,481
TN,Mcminn,1,425
TN,Monroe,1,283
TN,Montgomery,1,1214
TN,Obion,1,306
TN,Overton,1,390
TN,Perry,1,50
TN,Putnam,1,1848
TN,Rhea,1,219
TN,Roane,1,387
TN,Robertson,1,531
TN,Rutherford,3,2528
TN,Sevier,1,666
TN,Shelby,7,8163
TN,Smith,1,214
TN,Sullivan,3,3436
TN,Sumner,2,1688
TN,Tipton,1,95
TN,Trousdale,1,50
TN,Unicoi,1,77
TN,Warren,1,492
TN,Washington,2,1588
TN,Wayne,1,68
TN,Weakley,1,242
TN,White,1,112
TN,Williamson,1,788
TN,Wilson,1,631
TX,Anderson,1,398
TX,Andrews,1,139
TX,Angelina,2,1355
TX,Atascosa,1,311
TX,Bailey,1,50
TX,Bastrop,1,50
TX,Baylor,1,70
TX,Bee,1,148
TX,Bell,3,5686
TX,Bexar,13,23421
TX,Bosque,1,65
TX,Bowie,2,1776
TX,Brazoria,3,783
TX,Brazos,4,2910
TX,Brewster,1,124
TX,Brown,1,497
TX,Burnet,2,703
TX,Caldwell,1,100
TX,Calhoun,1,137
TX,Cameron,4,3331
TX,Camp,1,125
TX,Chambers,2,50
TX,Cherokee,2,167
TX,Childress,1,123
TX,Coleman,1,91
TX,Collin,13,11722
TX,Colorado,3,200
TX,Comal,1,454
TX,Cooke,2,114
TX,Coryell,1,170
TX,Dallam,1,50
TX,Dallas,29,23668
TX,Dawson,1,50
TX,De Witt,2,250
TX,Deaf Smith,1,63
TX,Denton,9,5582
TX,Dimmit,1,50
TX,Eastland,1,85
TX,Ector,2,1945
TX,El Paso,9,7027
TX,Ellis,2,1151
TX,Erath,1,420
TX,Falls,1,151
TX,Fayette,1,187
TX,Floyd,1,64
TX,Fort Bend,6,4288
TX,Galveston,2,1194
TX,Gillespie,1,345
TX,Gonzales,1,56
TX,Gray,1,377
TX,Grayson,3,1923
TX,Gregg,3,2021
TX,Guadalupe,1,291
TX,Hale,1,476
TX,Hamilton,1,177
TX,Harris,42,35011
TX,Harrison,1,460
TX,Hays,2,1160
TX,Henderson,1,640
TX,Hidalgo,6,6454
TX,Hill,1,170
TX,Hockley,1,178
TX,Hood,1,586
TX,Hopkins,1,238
TX,Houston,1,88
TX,Howard,1,360
TX,Hunt,1,1038
TX,Hutchinson,1,99
TX,Jack,1,51
TX,Jasper,1,158
TX,Jefferson,3,2886
TX,Jim Wells,1,219
TX,Johnson,3,1726
TX,Jones,3,58
TX,Kaufman,1,205
TX,Kerr,1,775
TX,Kimble,1,50
TX,Kleberg,1,306
TX,Lamar,1,339
TX,Lamb,1,51
TX,Lampasas,1,90
TX,Limestone,2,139
TX,Llano,1,50
TX,Lubbock,5,4263
TX,Martin,1,50
TX,Matagorda,2,265
TX,Maverick,1,415
TX,Mclennan,2,4455
TX,Medina,1,140
TX,Midland,1,336
TX,Milam,2,55
TX,Mitchell,1,69
TX,Montague,1,66
TX,Montgomery,6,2554
TX,Moore,1,151
TX,Nacogdoches,2,1056
TX,Navarro,1,406
TX,Nolan,1,120
TX,Nueces,4,3717
TX,Palo Pinto,1,227
TX,Panola,1,62
TX,Parker,1,611
TX,Polk,1,242
TX,Potter,3,4207
TX,Reeves,1,87
TX,Rockwall,2,696
TX,Rusk,1,182
TX,Sabine,1,50
TX,San Patricio,1,115
TX,Scurry,1,50
TX,Smith,4,5706
TX,Somervell,1,51
TX,Starr,1,95
TX,Stephens,1,55
TX,Swisher,1,50
TX,Tarrant,24,21925
TX,Taylor,2,1242
TX,Terry,1,93
TX,Titus,1,415
TX,Tom Green,2,1616
TX,Travis,11,10693
TX,Tyler,1,50
TX,Uvalde,1,199
TX,Val Verde,1,359
TX,Victoria,2,1111
TX,Walker,1,373
TX,Ward,1,50
TX,Washington,1,202
TX,Webb,2,1700
TX,Wharton,1,79
TX,Wichita,3,772
TX,Wilbarger,1,64
TX,Williamson,6,4643
TX,Wilson,1,133
TX,Wise,1,611
TX,Wood,2,146
TX,Yoakum,1,50
TX,Young,2,123
UT,Box Elder,2,263
UT,Cache,2,1464
UT,Carbon,1,382
UT,Davis,2,1358
UT,Duchesne,1,316
UT,Garfield,1,63
UT,Grand,1,50
UT,Iron,1,597
UT,Juab,1,231
UT,Kane,1,52
UT,Millard,2,50
UT,Salt Lake,12,15021
UT,San Juan,2,100
UT,Sanpete,2,219
UT,Sevier,1,198
UT,Summit,1,403
UT,Tooele,1,284
UT,Uintah,1,234
UT,Utah,5,5859
UT,Wasatch,1,144
UT,Washington,1,3535
UT,Weber,2,4062
VA,Accomack,1,355
VA,Albemarle,1,613
VA,Alexandria City,1,461
VA,Alleghany,1,260
VA,Arlington,2,2681
VA,Augusta,1,241
VA,Bath,1,50
VA,Bedford,1,265
VA,Buchanan,1,262
VA,Charlottesville City,1,960
VA,Chesapeake City,1,565
VA,Chesterfield,2,3767
VA,Culpeper,1,301
VA,Danville City,1,894
VA,Emporia City,1,180
VA,Essex,1,342
VA,Fairfax,4,2740
VA,Fauquier,1,591
VA,Franklin,1,290
VA,Franklin City,1,282
VA,Fredericksburg City,1,2791
VA,Galax City,1,449
VA,Giles,1,207
VA,Gloucester,1,445
VA,Halifax,1,797
VA,Hampton City,1,557
VA,Hanover,1,2048
VA,Harrisonburg City,1,731
VA,Henrico,2,5519
VA,Hopewell City,1,545
VA,James City,2,979
VA,Lancaster,1,166
VA,Lexington City,1,234
VA,Loudoun,2,689
VA,Lynchburg City,1,3573
VA,Manassas City,1,434
VA,Martinsville City,1,539
VA,Mecklenburg,1,324
VA,Montgomery,2,1354
VA,Newport News City,2,1990
VA,Norfolk City,4,2117
VA,Norton City,1,397
VA,Page,1,112
VA,Petersburg City,2,568
VA,Portsmouth City,1,1182
VA,Prince Edward,1,434
VA,Prince William,2,875
VA,Pulaski,1,248
VA,Richmond City,3,2256
VA,Roanoke City,1,2066
VA,Russell,1,140
VA,Salem,1,1110
VA,Shenandoah,1,342
VA,Smyth,1,211
VA,Spotsylvania,1,849
VA,Stafford,1,755
VA,Suffolk City,1,570
VA,Tazewell,2,598
VA,Virginia Beach City,2,1173
VA,Warren,1,234
VA,Washington,1,1038
VA,Winchester City,1,595
VA,Wise,1,502
VA,Wythe,1,397
VT,Addison,1,313
VT,Bennington,1,362
VT,Caledonia,1,321
VT,Chittenden,1,3760
VT,Franklin,1,459
VT,Lamoille,1,578
VT,Orange,1,326
VT,Orleans,1,240
VT,Rutland,1,936
VT,Washington,1,750
VT,Windham,2,388
VT,Windsor,2,324
WA,Adams,2,70
WA,Asotin,1,304
WA,Benton,3,1944
WA,Chelan,4,965
WA,Clallam,2,428
WA,Clark,2,2802
WA,Columbia,1,50
WA,Cowlitz,1,677
WA,Franklin,1,462
WA,Grant,4,417
WA,Grays Harbor,2,653
WA,Island,1,311
WA,Jefferson,1,276
WA,King,17,18826
WA,Kitsap,1,2133
WA,Kittitas,1,158
WA,Klickitat,2,103
WA,Lewis,2,699
WA,Lincoln,2,94
WA,Mason,1,308
WA,Okanogan,3,269
WA,Pacific,2,126
WA,Pend Oreille,1,76
WA,Pierce,6,12700
WA,Skagit,3,1383
WA,Snohomish,4,3766
WA,Spokane,5,4252
WA,Stevens,2,276
WA,Thurston,2,2069
WA,Walla Walla,2,1336
WA,Whatcom,1,1421
WA,Whitman,2,445
WA,Yakima,4,2241
WI,Adams,1,50
WI,Ashland,1,229
WI,Barron,3,736
WI,Brown,4,4346
WI,Burnett,1,62
WI,Calumet,1,139
WI,Chippewa,3,456
WI,Clark,1,76
WI,Columbia,2,663
WI,Crawford,1,234
WI,Dane,4,1496
WI,Dodge,3,885
WI,Door,1,361
WI,Douglas,1,128
WI,Dunn,1,264
WI,Eau Claire,3,2709
WI,Fond Du Lac,2,898
WI,Grant,3,435
WI,Green,1,415
WI,Green Lake,1,281
WI,Iowa,1,253
WI,Jackson,1,194
WI,Jefferson,1,353
WI,Juneau,1,142
WI,Kenosha,2,1773
WI,La Crosse,2,1278
WI,Lafayette,1,76
WI,Langlade,1,330
WI,Lincoln,2,181
WI,Manitowoc,2,739
WI,Marathon,2,2968
WI,Marinette,1,579
WI,Milwaukee,10,14477
WI,Monroe,2,274
WI,Oconto,2,150
WI,Oneida,2,1215
WI,Outagamie,3,3797
WI,Ozaukee,3,1811
WI,Pierce,1,244
WI,Polk,3,806
WI,Portage,1,984
WI,Price,1,137
WI,Racine,2,1359
WI,Richland,1,300
WI,Rock,4,2691
WI,Rusk,1,125
WI,Saint Croix,3,1037
WI,Sauk,3,1302
WI,Sawyer,1,157
WI,Shawano,1,220
WI,Sheboygan,2,1066
WI,Taylor,1,193
WI,Trempealeau,2,127
WI,Vernon,2,373
WI,Vilas,1,79
WI,Walworth,2,785
WI,Washburn,2,151
WI,Washington,2,1393
WI,Waukesha,4,3974
WI,Waupaca,1,169
WI,Waushara,1,50
WI,Winnebago,4,3003
WI,Wood,2,3291
WV,Barbour,1,50
WV,Berkeley,1,403
WV,Boone,1,125
WV,Braxton,1,66
WV,Cabell,2,2127
WV,Fayette,2,283
WV,Grant,1,299
WV,Greenbrier,1,524
WV,Hampshire,1,75
WV,Hancock,1,311
WV,Harrison,1,654
WV,Jackson,1,96
WV,Jefferson,1,159
WV,Kanawha,4,4930
WV,Lewis,1,318
WV,Logan,1,597
WV,Marion,1,362
WV,Marshall,1,374
WV,Mason,1,293
WV,Mcdowell,1,161
WV,Mercer,2,984
WV,Mineral,1,107
WV,Mingo,1,213
WV,Monongalia,2,1338
WV,Morgan,1,106
WV,Nicholas,1,269
WV,Ohio,2,2192
WV,Pocahontas,1,50
WV,Preston,1,111
WV,Raleigh,2,992
WV,Randolph,1,366
WV,Roane,1,50
WV,Taylor,1,50
WV,Upshur,1,50
WV,Wetzel,1,69
WV,Wood,1,804
WY,Albany,1,413
WY,Big Horn,2,50
WY,Campbell,1,343
WY,Carbon,1,72
WY,Converse,1,122
WY,Fremont,1,337
WY,Goshen,1,104
WY,Hot Springs,1,63
WY,Laramie,1,645
WY,Lincoln,2,197
WY,Natrona,3,1472
WY,Park,2,374
WY,Platte,1,65
WY,Sheridan,1,562
WY,Sweetwater,2,402
WY,Teton,1,476
WY,Uinta,1,119
WY,Washakie,1,62
